startTime :2015-01-14 12:31:15 || endTime :2015-01-14 13:31:15 || tweets/hour :1 || average # followers :69
startTime :2015-01-17 01:31:15 || endTime :2015-01-17 02:31:15 || tweets/hour :3 || average # followers :8562
startTime :2015-01-17 02:31:15 || endTime :2015-01-17 03:31:15 || tweets/hour :3 || average # followers :2747
startTime :2015-01-17 03:31:15 || endTime :2015-01-17 04:31:15 || tweets/hour :0 || average # followers :0
startTime :2015-01-17 04:31:15 || endTime :2015-01-17 05:31:15 || tweets/hour :1 || average # followers :25
startTime :2015-01-17 05:31:15 || endTime :2015-01-17 06:31:15 || tweets/hour :1 || average # followers :201
startTime :2015-01-17 06:31:15 || endTime :2015-01-17 07:31:15 || tweets/hour :0 || average # followers :0
startTime :2015-01-17 07:31:15 || endTime :2015-01-17 08:31:15 || tweets/hour :0 || average # followers :0
startTime :2015-01-17 08:31:15 || endTime :2015-01-17 09:31:15 || tweets/hour :0 || average # followers :0
startTime :2015-01-17 09:31:15 || endTime :2015-01-17 10:31:15 || tweets/hour :0 || average # followers :0
startTime :2015-01-17 10:31:15 || endTime :2015-01-17 11:31:15 || tweets/hour :0 || average # followers :0
startTime :2015-01-17 11:31:15 || endTime :2015-01-17 12:31:15 || tweets/hour :0 || average # followers :0
startTime :2015-01-17 12:31:15 || endTime :2015-01-17 13:31:15 || tweets/hour :0 || average # followers :0
startTime :2015-01-17 13:31:15 || endTime :2015-01-17 14:31:15 || tweets/hour :0 || average # followers :0
startTime :2015-01-17 14:31:15 || endTime :2015-01-17 15:31:15 || tweets/hour :0 || average # followers :0
startTime :2015-01-17 15:31:15 || endTime :2015-01-17 16:31:15 || tweets/hour :1 || average # followers :204
startTime :2015-01-17 16:31:15 || endTime :2015-01-17 17:31:15 || tweets/hour :3 || average # followers :242
startTime :2015-01-17 17:31:15 || endTime :2015-01-17 18:31:15 || tweets/hour :4 || average # followers :3280
startTime :2015-01-17 18:31:15 || endTime :2015-01-17 19:31:15 || tweets/hour :1 || average # followers :102
startTime :2015-01-17 19:31:15 || endTime :2015-01-17 20:31:15 || tweets/hour :3 || average # followers :283
startTime :2015-01-17 20:31:15 || endTime :2015-01-17 21:31:15 || tweets/hour :0 || average # followers :0
startTime :2015-01-17 21:31:15 || endTime :2015-01-17 22:31:15 || tweets/hour :1 || average # followers :187
startTime :2015-01-17 22:31:15 || endTime :2015-01-17 23:31:15 || tweets/hour :2 || average # followers :618
startTime :2015-01-17 23:31:15 || endTime :2015-01-18 00:31:15 || tweets/hour :2 || average # followers :88
startTime :2015-01-18 00:31:15 || endTime :2015-01-18 01:31:15 || tweets/hour :1 || average # followers :318
startTime :2015-01-18 01:31:15 || endTime :2015-01-18 02:31:15 || tweets/hour :0 || average # followers :0
startTime :2015-01-18 02:31:15 || endTime :2015-01-18 03:31:15 || tweets/hour :2 || average # followers :422
startTime :2015-01-18 03:31:15 || endTime :2015-01-18 04:31:15 || tweets/hour :2 || average # followers :4918
startTime :2015-01-18 04:31:15 || endTime :2015-01-18 05:31:15 || tweets/hour :2 || average # followers :371
startTime :2015-01-18 05:31:15 || endTime :2015-01-18 06:31:15 || tweets/hour :1 || average # followers :25
startTime :2015-01-18 06:31:15 || endTime :2015-01-18 07:31:15 || tweets/hour :0 || average # followers :0
startTime :2015-01-18 07:31:15 || endTime :2015-01-18 08:31:15 || tweets/hour :1 || average # followers :81
startTime :2015-01-18 08:31:15 || endTime :2015-01-18 09:31:15 || tweets/hour :1 || average # followers :7
startTime :2015-01-18 09:31:15 || endTime :2015-01-18 10:31:15 || tweets/hour :1 || average # followers :15
startTime :2015-01-18 10:31:15 || endTime :2015-01-18 11:31:15 || tweets/hour :0 || average # followers :0
startTime :2015-01-18 11:31:15 || endTime :2015-01-18 12:31:15 || tweets/hour :0 || average # followers :0
startTime :2015-01-18 12:31:15 || endTime :2015-01-18 13:31:15 || tweets/hour :0 || average # followers :0
startTime :2015-01-18 13:31:15 || endTime :2015-01-18 14:31:15 || tweets/hour :0 || average # followers :0
startTime :2015-01-18 14:31:15 || endTime :2015-01-18 15:31:15 || tweets/hour :0 || average # followers :0
startTime :2015-01-18 15:31:15 || endTime :2015-01-18 16:31:15 || tweets/hour :5 || average # followers :143
startTime :2015-01-18 16:31:15 || endTime :2015-01-18 17:31:15 || tweets/hour :3 || average # followers :2355
startTime :2015-01-18 17:31:15 || endTime :2015-01-18 18:31:15 || tweets/hour :8 || average # followers :2620
startTime :2015-01-18 18:31:15 || endTime :2015-01-18 19:31:15 || tweets/hour :2 || average # followers :3538
startTime :2015-01-18 19:31:15 || endTime :2015-01-18 20:31:15 || tweets/hour :15 || average # followers :2489
startTime :2015-01-18 20:31:15 || endTime :2015-01-18 21:31:15 || tweets/hour :9 || average # followers :503
startTime :2015-01-18 21:31:15 || endTime :2015-01-18 22:31:15 || tweets/hour :2 || average # followers :1013
startTime :2015-01-18 22:31:15 || endTime :2015-01-18 23:31:15 || tweets/hour :28 || average # followers :18661
startTime :2015-01-18 23:31:15 || endTime :2015-01-19 00:31:15 || tweets/hour :324 || average # followers :3964
startTime :2015-01-19 00:31:15 || endTime :2015-01-19 01:31:15 || tweets/hour :75 || average # followers :967
startTime :2015-01-19 01:31:15 || endTime :2015-01-19 02:31:15 || tweets/hour :107 || average # followers :3466
startTime :2015-01-19 02:31:15 || endTime :2015-01-19 03:31:15 || tweets/hour :254 || average # followers :3098
startTime :2015-01-19 03:31:15 || endTime :2015-01-19 04:31:15 || tweets/hour :116 || average # followers :2367
startTime :2015-01-19 04:31:15 || endTime :2015-01-19 05:31:15 || tweets/hour :72 || average # followers :4896
startTime :2015-01-19 05:31:15 || endTime :2015-01-19 06:31:15 || tweets/hour :61 || average # followers :966
startTime :2015-01-19 06:31:15 || endTime :2015-01-19 07:31:15 || tweets/hour :35 || average # followers :235
startTime :2015-01-19 07:31:15 || endTime :2015-01-19 08:31:15 || tweets/hour :22 || average # followers :816
startTime :2015-01-19 08:31:15 || endTime :2015-01-19 09:31:15 || tweets/hour :17 || average # followers :827
startTime :2015-01-19 09:31:15 || endTime :2015-01-19 10:31:15 || tweets/hour :7 || average # followers :258
startTime :2015-01-19 10:31:15 || endTime :2015-01-19 11:31:15 || tweets/hour :6 || average # followers :591
startTime :2015-01-19 11:31:15 || endTime :2015-01-19 12:31:15 || tweets/hour :7 || average # followers :1896
startTime :2015-01-19 12:31:15 || endTime :2015-01-19 13:31:15 || tweets/hour :16 || average # followers :730
startTime :2015-01-19 13:31:15 || endTime :2015-01-19 14:31:15 || tweets/hour :11 || average # followers :14317
startTime :2015-01-19 14:31:15 || endTime :2015-01-19 15:31:15 || tweets/hour :33 || average # followers :5418
startTime :2015-01-19 15:31:15 || endTime :2015-01-19 16:31:15 || tweets/hour :36 || average # followers :27250
startTime :2015-01-19 16:31:15 || endTime :2015-01-19 17:31:15 || tweets/hour :41 || average # followers :2839
startTime :2015-01-19 17:31:15 || endTime :2015-01-19 18:31:15 || tweets/hour :61 || average # followers :3765
startTime :2015-01-19 18:31:15 || endTime :2015-01-19 19:31:15 || tweets/hour :30 || average # followers :2062
startTime :2015-01-19 19:31:15 || endTime :2015-01-19 20:31:15 || tweets/hour :44 || average # followers :2276
startTime :2015-01-19 20:31:15 || endTime :2015-01-19 21:31:15 || tweets/hour :31 || average # followers :1030
startTime :2015-01-19 21:31:15 || endTime :2015-01-19 22:31:15 || tweets/hour :20 || average # followers :1118
startTime :2015-01-19 22:31:15 || endTime :2015-01-19 23:31:15 || tweets/hour :24 || average # followers :2661
startTime :2015-01-19 23:31:15 || endTime :2015-01-20 00:31:15 || tweets/hour :26 || average # followers :730
startTime :2015-01-20 00:31:15 || endTime :2015-01-20 01:31:15 || tweets/hour :12 || average # followers :6617
startTime :2015-01-20 01:31:15 || endTime :2015-01-20 02:31:15 || tweets/hour :12 || average # followers :7269
startTime :2015-01-20 02:31:15 || endTime :2015-01-20 03:31:15 || tweets/hour :26 || average # followers :1435
startTime :2015-01-20 03:31:15 || endTime :2015-01-20 04:31:15 || tweets/hour :10 || average # followers :264
startTime :2015-01-20 04:31:15 || endTime :2015-01-20 05:31:15 || tweets/hour :15 || average # followers :1226
startTime :2015-01-20 05:31:15 || endTime :2015-01-20 06:31:15 || tweets/hour :17 || average # followers :972
startTime :2015-01-20 06:31:15 || endTime :2015-01-20 07:31:15 || tweets/hour :12 || average # followers :360
startTime :2015-01-20 07:31:15 || endTime :2015-01-20 08:31:15 || tweets/hour :5 || average # followers :73
startTime :2015-01-20 08:31:15 || endTime :2015-01-20 09:31:15 || tweets/hour :3 || average # followers :1047
startTime :2015-01-20 09:31:15 || endTime :2015-01-20 10:31:15 || tweets/hour :0 || average # followers :0
startTime :2015-01-20 10:31:15 || endTime :2015-01-20 11:31:15 || tweets/hour :1 || average # followers :718
startTime :2015-01-20 11:31:15 || endTime :2015-01-20 12:31:15 || tweets/hour :2 || average # followers :1566
startTime :2015-01-20 12:31:15 || endTime :2015-01-20 13:31:15 || tweets/hour :3 || average # followers :4534
startTime :2015-01-20 13:31:15 || endTime :2015-01-20 14:31:15 || tweets/hour :5 || average # followers :794
startTime :2015-01-20 14:31:15 || endTime :2015-01-20 15:31:15 || tweets/hour :16 || average # followers :599
startTime :2015-01-20 15:31:15 || endTime :2015-01-20 16:31:15 || tweets/hour :17 || average # followers :2206
startTime :2015-01-20 16:31:15 || endTime :2015-01-20 17:31:15 || tweets/hour :21 || average # followers :4185
startTime :2015-01-20 17:31:15 || endTime :2015-01-20 18:31:15 || tweets/hour :16 || average # followers :1142
startTime :2015-01-20 18:31:15 || endTime :2015-01-20 19:31:15 || tweets/hour :14 || average # followers :1761
startTime :2015-01-20 19:31:15 || endTime :2015-01-20 20:31:15 || tweets/hour :7 || average # followers :2861
startTime :2015-01-20 20:31:15 || endTime :2015-01-20 21:31:15 || tweets/hour :2 || average # followers :77619
startTime :2015-01-20 21:31:15 || endTime :2015-01-20 22:31:15 || tweets/hour :4 || average # followers :43875
startTime :2015-01-20 22:31:15 || endTime :2015-01-20 23:31:15 || tweets/hour :23 || average # followers :394548
startTime :2015-01-20 23:31:15 || endTime :2015-01-21 00:31:15 || tweets/hour :13 || average # followers :1724
startTime :2015-01-21 00:31:15 || endTime :2015-01-21 01:31:15 || tweets/hour :21 || average # followers :2362
startTime :2015-01-21 01:31:15 || endTime :2015-01-21 02:31:15 || tweets/hour :21 || average # followers :1632
startTime :2015-01-21 02:31:15 || endTime :2015-01-21 03:31:15 || tweets/hour :17 || average # followers :461
startTime :2015-01-21 03:31:15 || endTime :2015-01-21 04:31:15 || tweets/hour :19 || average # followers :894
startTime :2015-01-21 04:31:15 || endTime :2015-01-21 05:31:15 || tweets/hour :29 || average # followers :1106
startTime :2015-01-21 05:31:15 || endTime :2015-01-21 06:31:15 || tweets/hour :19 || average # followers :404
startTime :2015-01-21 06:31:15 || endTime :2015-01-21 07:31:15 || tweets/hour :11 || average # followers :139
startTime :2015-01-21 07:31:15 || endTime :2015-01-21 08:31:15 || tweets/hour :6 || average # followers :923
startTime :2015-01-21 08:31:15 || endTime :2015-01-21 09:31:15 || tweets/hour :1 || average # followers :38
startTime :2015-01-21 09:31:15 || endTime :2015-01-21 10:31:15 || tweets/hour :1 || average # followers :1264
startTime :2015-01-21 10:31:15 || endTime :2015-01-21 11:31:15 || tweets/hour :2 || average # followers :1298
startTime :2015-01-21 11:31:15 || endTime :2015-01-21 12:31:15 || tweets/hour :6 || average # followers :1878
startTime :2015-01-21 12:31:15 || endTime :2015-01-21 13:31:15 || tweets/hour :6 || average # followers :445
startTime :2015-01-21 13:31:15 || endTime :2015-01-21 14:31:15 || tweets/hour :7 || average # followers :578
startTime :2015-01-21 14:31:15 || endTime :2015-01-21 15:31:15 || tweets/hour :12 || average # followers :1406
startTime :2015-01-21 15:31:15 || endTime :2015-01-21 16:31:15 || tweets/hour :13 || average # followers :2867
startTime :2015-01-21 16:31:15 || endTime :2015-01-21 17:31:15 || tweets/hour :7 || average # followers :21753
startTime :2015-01-21 17:31:15 || endTime :2015-01-21 18:31:15 || tweets/hour :14 || average # followers :4833
startTime :2015-01-21 18:31:15 || endTime :2015-01-21 19:31:15 || tweets/hour :14 || average # followers :4771
startTime :2015-01-21 19:31:15 || endTime :2015-01-21 20:31:15 || tweets/hour :20 || average # followers :464422
startTime :2015-01-21 20:31:15 || endTime :2015-01-21 21:31:15 || tweets/hour :25 || average # followers :68582
startTime :2015-01-21 21:31:15 || endTime :2015-01-21 22:31:15 || tweets/hour :18 || average # followers :3761
startTime :2015-01-21 22:31:15 || endTime :2015-01-21 23:31:15 || tweets/hour :17 || average # followers :15998
startTime :2015-01-21 23:31:15 || endTime :2015-01-22 00:31:15 || tweets/hour :30 || average # followers :857
startTime :2015-01-22 00:31:15 || endTime :2015-01-22 01:31:15 || tweets/hour :21 || average # followers :1425
startTime :2015-01-22 01:31:15 || endTime :2015-01-22 02:31:15 || tweets/hour :17 || average # followers :2093
startTime :2015-01-22 02:31:15 || endTime :2015-01-22 03:31:15 || tweets/hour :10 || average # followers :466
startTime :2015-01-22 03:31:15 || endTime :2015-01-22 04:31:15 || tweets/hour :13 || average # followers :6075
startTime :2015-01-22 04:31:15 || endTime :2015-01-22 05:31:15 || tweets/hour :20 || average # followers :39503
startTime :2015-01-22 05:31:15 || endTime :2015-01-22 06:31:15 || tweets/hour :12 || average # followers :388
startTime :2015-01-22 06:31:15 || endTime :2015-01-22 07:31:15 || tweets/hour :4 || average # followers :398
startTime :2015-01-22 07:31:15 || endTime :2015-01-22 08:31:15 || tweets/hour :7 || average # followers :219
startTime :2015-01-22 08:31:15 || endTime :2015-01-22 09:31:15 || tweets/hour :2 || average # followers :9806
startTime :2015-01-22 09:31:15 || endTime :2015-01-22 10:31:15 || tweets/hour :1 || average # followers :120
startTime :2015-01-22 10:31:15 || endTime :2015-01-22 11:31:15 || tweets/hour :1 || average # followers :37
startTime :2015-01-22 11:31:15 || endTime :2015-01-22 12:31:15 || tweets/hour :4 || average # followers :4441
startTime :2015-01-22 12:31:15 || endTime :2015-01-22 13:31:15 || tweets/hour :2 || average # followers :31317
startTime :2015-01-22 13:31:15 || endTime :2015-01-22 14:31:15 || tweets/hour :7 || average # followers :3956
startTime :2015-01-22 14:31:15 || endTime :2015-01-22 15:31:15 || tweets/hour :12 || average # followers :4631
startTime :2015-01-22 15:31:15 || endTime :2015-01-22 16:31:15 || tweets/hour :15 || average # followers :1965
startTime :2015-01-22 16:31:15 || endTime :2015-01-22 17:31:15 || tweets/hour :30 || average # followers :4247
startTime :2015-01-22 17:31:15 || endTime :2015-01-22 18:31:15 || tweets/hour :20 || average # followers :13004
startTime :2015-01-22 18:31:15 || endTime :2015-01-22 19:31:15 || tweets/hour :18 || average # followers :27258
startTime :2015-01-22 19:31:15 || endTime :2015-01-22 20:31:15 || tweets/hour :12 || average # followers :13703
startTime :2015-01-22 20:31:15 || endTime :2015-01-22 21:31:15 || tweets/hour :10 || average # followers :3070
startTime :2015-01-22 21:31:15 || endTime :2015-01-22 22:31:15 || tweets/hour :4 || average # followers :2275
startTime :2015-01-22 22:31:15 || endTime :2015-01-22 23:31:15 || tweets/hour :3 || average # followers :26381
startTime :2015-01-22 23:31:15 || endTime :2015-01-23 00:31:15 || tweets/hour :1 || average # followers :181
startTime :2015-01-23 00:31:15 || endTime :2015-01-23 01:31:15 || tweets/hour :30 || average # followers :2436
startTime :2015-01-23 01:31:15 || endTime :2015-01-23 02:31:15 || tweets/hour :19 || average # followers :536
startTime :2015-01-23 02:31:15 || endTime :2015-01-23 03:31:15 || tweets/hour :32 || average # followers :15278
startTime :2015-01-23 03:31:15 || endTime :2015-01-23 04:31:15 || tweets/hour :43 || average # followers :7904
startTime :2015-01-23 04:31:15 || endTime :2015-01-23 05:31:15 || tweets/hour :29 || average # followers :2112
startTime :2015-01-23 05:31:15 || endTime :2015-01-23 06:31:15 || tweets/hour :18 || average # followers :1329
startTime :2015-01-23 06:31:15 || endTime :2015-01-23 07:31:15 || tweets/hour :19 || average # followers :636
startTime :2015-01-23 07:31:15 || endTime :2015-01-23 08:31:15 || tweets/hour :11 || average # followers :1133
startTime :2015-01-23 08:31:15 || endTime :2015-01-23 09:31:15 || tweets/hour :12 || average # followers :847
startTime :2015-01-23 09:31:15 || endTime :2015-01-23 10:31:15 || tweets/hour :2 || average # followers :40
startTime :2015-01-23 10:31:15 || endTime :2015-01-23 11:31:15 || tweets/hour :3 || average # followers :11765
startTime :2015-01-23 11:31:15 || endTime :2015-01-23 12:31:15 || tweets/hour :3 || average # followers :40037
startTime :2015-01-23 12:31:15 || endTime :2015-01-23 13:31:15 || tweets/hour :3 || average # followers :189
startTime :2015-01-23 13:31:15 || endTime :2015-01-23 14:31:15 || tweets/hour :18 || average # followers :6370
startTime :2015-01-23 14:31:15 || endTime :2015-01-23 15:31:15 || tweets/hour :20 || average # followers :2898
startTime :2015-01-23 15:31:15 || endTime :2015-01-23 16:31:15 || tweets/hour :25 || average # followers :2749
startTime :2015-01-23 16:31:15 || endTime :2015-01-23 17:31:15 || tweets/hour :25 || average # followers :3157
startTime :2015-01-23 17:31:15 || endTime :2015-01-23 18:31:15 || tweets/hour :20 || average # followers :9444
startTime :2015-01-23 18:31:15 || endTime :2015-01-23 19:31:15 || tweets/hour :33 || average # followers :1218
startTime :2015-01-23 19:31:15 || endTime :2015-01-23 20:31:15 || tweets/hour :35 || average # followers :6156
startTime :2015-01-23 20:31:15 || endTime :2015-01-23 21:31:15 || tweets/hour :31 || average # followers :10449
startTime :2015-01-23 21:31:15 || endTime :2015-01-23 22:31:15 || tweets/hour :28 || average # followers :16883
startTime :2015-01-23 22:31:15 || endTime :2015-01-23 23:31:15 || tweets/hour :25 || average # followers :3329
startTime :2015-01-23 23:31:15 || endTime :2015-01-24 00:31:15 || tweets/hour :24 || average # followers :1549
startTime :2015-01-24 00:31:15 || endTime :2015-01-24 01:31:15 || tweets/hour :26 || average # followers :1417
startTime :2015-01-24 01:31:15 || endTime :2015-01-24 02:31:15 || tweets/hour :27 || average # followers :1933
startTime :2015-01-24 02:31:15 || endTime :2015-01-24 03:31:15 || tweets/hour :32 || average # followers :2311
startTime :2015-01-24 03:31:15 || endTime :2015-01-24 04:31:15 || tweets/hour :22 || average # followers :929
startTime :2015-01-24 04:31:15 || endTime :2015-01-24 05:31:15 || tweets/hour :15 || average # followers :1485
startTime :2015-01-24 05:31:15 || endTime :2015-01-24 06:31:15 || tweets/hour :19 || average # followers :8515
startTime :2015-01-24 06:31:15 || endTime :2015-01-24 07:31:15 || tweets/hour :6 || average # followers :1178
startTime :2015-01-24 07:31:15 || endTime :2015-01-24 08:31:15 || tweets/hour :2 || average # followers :759
startTime :2015-01-24 08:31:15 || endTime :2015-01-24 09:31:15 || tweets/hour :6 || average # followers :1738
startTime :2015-01-24 09:31:15 || endTime :2015-01-24 10:31:15 || tweets/hour :5 || average # followers :56
startTime :2015-01-24 10:31:15 || endTime :2015-01-24 11:31:15 || tweets/hour :1 || average # followers :628
startTime :2015-01-24 11:31:15 || endTime :2015-01-24 12:31:15 || tweets/hour :1 || average # followers :65
startTime :2015-01-24 12:31:15 || endTime :2015-01-24 13:31:15 || tweets/hour :2 || average # followers :487
startTime :2015-01-24 13:31:15 || endTime :2015-01-24 14:31:15 || tweets/hour :10 || average # followers :1747
startTime :2015-01-24 14:31:15 || endTime :2015-01-24 15:31:15 || tweets/hour :21 || average # followers :4828
startTime :2015-01-24 15:31:15 || endTime :2015-01-24 16:31:15 || tweets/hour :17 || average # followers :11491
startTime :2015-01-24 16:31:15 || endTime :2015-01-24 17:31:15 || tweets/hour :18 || average # followers :235916
startTime :2015-01-24 17:31:15 || endTime :2015-01-24 18:31:15 || tweets/hour :26 || average # followers :3230
startTime :2015-01-24 18:31:15 || endTime :2015-01-24 19:31:15 || tweets/hour :28 || average # followers :1797
startTime :2015-01-24 19:31:15 || endTime :2015-01-24 20:31:15 || tweets/hour :51 || average # followers :1818
startTime :2015-01-24 20:31:15 || endTime :2015-01-24 21:31:15 || tweets/hour :51 || average # followers :928
startTime :2015-01-24 21:31:15 || endTime :2015-01-24 22:31:15 || tweets/hour :24 || average # followers :3235
startTime :2015-01-24 22:31:15 || endTime :2015-01-24 23:31:15 || tweets/hour :34 || average # followers :16908
startTime :2015-01-24 23:31:15 || endTime :2015-01-25 00:31:15 || tweets/hour :25 || average # followers :2396
startTime :2015-01-25 00:31:15 || endTime :2015-01-25 01:31:15 || tweets/hour :21 || average # followers :3247
startTime :2015-01-25 01:31:15 || endTime :2015-01-25 02:31:15 || tweets/hour :27 || average # followers :10527
startTime :2015-01-25 02:31:15 || endTime :2015-01-25 03:31:15 || tweets/hour :46 || average # followers :4591
startTime :2015-01-25 03:31:15 || endTime :2015-01-25 04:31:15 || tweets/hour :42 || average # followers :1345
startTime :2015-01-25 04:31:15 || endTime :2015-01-25 05:31:15 || tweets/hour :18 || average # followers :892
startTime :2015-01-25 05:31:15 || endTime :2015-01-25 06:31:15 || tweets/hour :25 || average # followers :1317
startTime :2015-01-25 06:31:15 || endTime :2015-01-25 07:31:15 || tweets/hour :11 || average # followers :885
startTime :2015-01-25 07:31:15 || endTime :2015-01-25 08:31:15 || tweets/hour :11 || average # followers :926
