startTime :2015-01-14 12:31:15 || endTime :2015-01-14 13:31:15 || tweets/hour :1
startTime :2015-01-18 21:31:15 || endTime :2015-01-18 22:31:15 || tweets/hour :2
startTime :2015-01-18 22:31:15 || endTime :2015-01-18 23:31:15 || tweets/hour :28
startTime :2015-01-18 23:31:15 || endTime :2015-01-19 00:31:15 || tweets/hour :324
startTime :2015-01-19 00:31:15 || endTime :2015-01-19 01:31:15 || tweets/hour :75
startTime :2015-01-19 01:31:15 || endTime :2015-01-19 02:31:15 || tweets/hour :107
startTime :2015-01-19 02:31:15 || endTime :2015-01-19 03:31:15 || tweets/hour :254
startTime :2015-01-19 03:31:15 || endTime :2015-01-19 04:31:15 || tweets/hour :116
startTime :2015-01-19 04:31:15 || endTime :2015-01-19 05:31:15 || tweets/hour :72
startTime :2015-01-19 05:31:15 || endTime :2015-01-19 06:31:15 || tweets/hour :61
startTime :2015-01-19 06:31:15 || endTime :2015-01-19 07:31:15 || tweets/hour :35
startTime :2015-01-19 07:31:15 || endTime :2015-01-19 08:31:15 || tweets/hour :22
startTime :2015-01-19 08:31:15 || endTime :2015-01-19 09:31:15 || tweets/hour :17
startTime :2015-01-19 09:31:15 || endTime :2015-01-19 10:31:15 || tweets/hour :7
startTime :2015-01-19 10:31:15 || endTime :2015-01-19 11:31:15 || tweets/hour :6
startTime :2015-01-19 11:31:15 || endTime :2015-01-19 12:31:15 || tweets/hour :7
startTime :2015-01-19 12:31:15 || endTime :2015-01-19 13:31:15 || tweets/hour :16
startTime :2015-01-19 13:31:15 || endTime :2015-01-19 14:31:15 || tweets/hour :11
startTime :2015-01-19 14:31:15 || endTime :2015-01-19 15:31:15 || tweets/hour :33
startTime :2015-01-19 15:31:15 || endTime :2015-01-19 16:31:15 || tweets/hour :36
startTime :2015-01-19 16:31:15 || endTime :2015-01-19 17:31:15 || tweets/hour :41
startTime :2015-01-19 17:31:15 || endTime :2015-01-19 18:31:15 || tweets/hour :61
startTime :2015-01-19 18:31:15 || endTime :2015-01-19 19:31:15 || tweets/hour :30
startTime :2015-01-19 19:31:15 || endTime :2015-01-19 20:31:15 || tweets/hour :44
startTime :2015-01-19 20:31:15 || endTime :2015-01-19 21:31:15 || tweets/hour :31
startTime :2015-01-19 21:31:15 || endTime :2015-01-19 22:31:15 || tweets/hour :20
startTime :2015-01-19 22:31:15 || endTime :2015-01-19 23:31:15 || tweets/hour :24
startTime :2015-01-19 23:31:15 || endTime :2015-01-20 00:31:15 || tweets/hour :26
startTime :2015-01-20 00:31:15 || endTime :2015-01-20 01:31:15 || tweets/hour :12
startTime :2015-01-20 01:31:15 || endTime :2015-01-20 02:31:15 || tweets/hour :12
startTime :2015-01-20 02:31:15 || endTime :2015-01-20 03:31:15 || tweets/hour :26
startTime :2015-01-20 03:31:15 || endTime :2015-01-20 04:31:15 || tweets/hour :10
startTime :2015-01-20 04:31:15 || endTime :2015-01-20 05:31:15 || tweets/hour :15
startTime :2015-01-20 05:31:15 || endTime :2015-01-20 06:31:15 || tweets/hour :17
startTime :2015-01-20 06:31:15 || endTime :2015-01-20 07:31:15 || tweets/hour :12
startTime :2015-01-20 07:31:15 || endTime :2015-01-20 08:31:15 || tweets/hour :5
startTime :2015-01-20 08:31:15 || endTime :2015-01-20 09:31:15 || tweets/hour :3
startTime :2015-01-20 09:31:15 || endTime :2015-01-20 10:31:15 || tweets/hour :0
startTime :2015-01-20 10:31:15 || endTime :2015-01-20 11:31:15 || tweets/hour :1
startTime :2015-01-20 11:31:15 || endTime :2015-01-20 12:31:15 || tweets/hour :2
startTime :2015-01-20 12:31:15 || endTime :2015-01-20 13:31:15 || tweets/hour :3
startTime :2015-01-20 13:31:15 || endTime :2015-01-20 14:31:15 || tweets/hour :5
startTime :2015-01-20 14:31:15 || endTime :2015-01-20 15:31:15 || tweets/hour :16
startTime :2015-01-20 15:31:15 || endTime :2015-01-20 16:31:15 || tweets/hour :17
startTime :2015-01-20 16:31:15 || endTime :2015-01-20 17:31:15 || tweets/hour :21
startTime :2015-01-20 17:31:15 || endTime :2015-01-20 18:31:15 || tweets/hour :16
startTime :2015-01-20 18:31:15 || endTime :2015-01-20 19:31:15 || tweets/hour :14
startTime :2015-01-20 19:31:15 || endTime :2015-01-20 20:31:15 || tweets/hour :7
startTime :2015-01-20 20:31:15 || endTime :2015-01-20 21:31:15 || tweets/hour :2
startTime :2015-01-20 21:31:15 || endTime :2015-01-20 22:31:15 || tweets/hour :4
startTime :2015-01-20 22:31:15 || endTime :2015-01-20 23:31:15 || tweets/hour :23
startTime :2015-01-20 23:31:15 || endTime :2015-01-21 00:31:15 || tweets/hour :13
startTime :2015-01-21 00:31:15 || endTime :2015-01-21 01:31:15 || tweets/hour :21
startTime :2015-01-21 01:31:15 || endTime :2015-01-21 02:31:15 || tweets/hour :21
startTime :2015-01-21 02:31:15 || endTime :2015-01-21 03:31:15 || tweets/hour :17
startTime :2015-01-21 03:31:15 || endTime :2015-01-21 04:31:15 || tweets/hour :19
startTime :2015-01-21 04:31:15 || endTime :2015-01-21 05:31:15 || tweets/hour :29
startTime :2015-01-21 05:31:15 || endTime :2015-01-21 06:31:15 || tweets/hour :19
startTime :2015-01-21 06:31:15 || endTime :2015-01-21 07:31:15 || tweets/hour :11
startTime :2015-01-21 07:31:15 || endTime :2015-01-21 08:31:15 || tweets/hour :6
startTime :2015-01-21 08:31:15 || endTime :2015-01-21 09:31:15 || tweets/hour :1
startTime :2015-01-21 09:31:15 || endTime :2015-01-21 10:31:15 || tweets/hour :1
startTime :2015-01-21 10:31:15 || endTime :2015-01-21 11:31:15 || tweets/hour :2
startTime :2015-01-21 11:31:15 || endTime :2015-01-21 12:31:15 || tweets/hour :6
startTime :2015-01-21 12:31:15 || endTime :2015-01-21 13:31:15 || tweets/hour :6
startTime :2015-01-21 13:31:15 || endTime :2015-01-21 14:31:15 || tweets/hour :7
startTime :2015-01-21 14:31:15 || endTime :2015-01-21 15:31:15 || tweets/hour :12
startTime :2015-01-21 15:31:15 || endTime :2015-01-21 16:31:15 || tweets/hour :13
startTime :2015-01-21 16:31:15 || endTime :2015-01-21 17:31:15 || tweets/hour :7
startTime :2015-01-21 17:31:15 || endTime :2015-01-21 18:31:15 || tweets/hour :14
startTime :2015-01-21 18:31:15 || endTime :2015-01-21 19:31:15 || tweets/hour :14
startTime :2015-01-21 19:31:15 || endTime :2015-01-21 20:31:15 || tweets/hour :20
startTime :2015-01-21 20:31:15 || endTime :2015-01-21 21:31:15 || tweets/hour :25
startTime :2015-01-21 21:31:15 || endTime :2015-01-21 22:31:15 || tweets/hour :18
startTime :2015-01-21 22:31:15 || endTime :2015-01-21 23:31:15 || tweets/hour :17
startTime :2015-01-21 23:31:15 || endTime :2015-01-22 00:31:15 || tweets/hour :30
startTime :2015-01-22 00:31:15 || endTime :2015-01-22 01:31:15 || tweets/hour :21
startTime :2015-01-22 01:31:15 || endTime :2015-01-22 02:31:15 || tweets/hour :17
startTime :2015-01-22 02:31:15 || endTime :2015-01-22 03:31:15 || tweets/hour :10
startTime :2015-01-22 03:31:15 || endTime :2015-01-22 04:31:15 || tweets/hour :13
startTime :2015-01-22 04:31:15 || endTime :2015-01-22 05:31:15 || tweets/hour :20
startTime :2015-01-22 05:31:15 || endTime :2015-01-22 06:31:15 || tweets/hour :12
startTime :2015-01-22 06:31:15 || endTime :2015-01-22 07:31:15 || tweets/hour :4
startTime :2015-01-22 07:31:15 || endTime :2015-01-22 08:31:15 || tweets/hour :7
startTime :2015-01-22 08:31:15 || endTime :2015-01-22 09:31:15 || tweets/hour :2
startTime :2015-01-22 09:31:15 || endTime :2015-01-22 10:31:15 || tweets/hour :1
startTime :2015-01-22 10:31:15 || endTime :2015-01-22 11:31:15 || tweets/hour :1
startTime :2015-01-22 11:31:15 || endTime :2015-01-22 12:31:15 || tweets/hour :4
startTime :2015-01-22 12:31:15 || endTime :2015-01-22 13:31:15 || tweets/hour :2
startTime :2015-01-22 13:31:15 || endTime :2015-01-22 14:31:15 || tweets/hour :7
startTime :2015-01-22 14:31:15 || endTime :2015-01-22 15:31:15 || tweets/hour :12
startTime :2015-01-22 15:31:15 || endTime :2015-01-22 16:31:15 || tweets/hour :15
startTime :2015-01-22 16:31:15 || endTime :2015-01-22 17:31:15 || tweets/hour :30
startTime :2015-01-22 17:31:15 || endTime :2015-01-22 18:31:15 || tweets/hour :20
startTime :2015-01-22 18:31:15 || endTime :2015-01-22 19:31:15 || tweets/hour :18
startTime :2015-01-22 19:31:15 || endTime :2015-01-22 20:31:15 || tweets/hour :12
startTime :2015-01-22 20:31:15 || endTime :2015-01-22 21:31:15 || tweets/hour :10
startTime :2015-01-22 21:31:15 || endTime :2015-01-22 22:31:15 || tweets/hour :4
startTime :2015-01-22 22:31:15 || endTime :2015-01-22 23:31:15 || tweets/hour :3
startTime :2015-01-22 23:31:15 || endTime :2015-01-23 00:31:15 || tweets/hour :1
startTime :2015-01-23 00:31:15 || endTime :2015-01-23 01:31:15 || tweets/hour :30
startTime :2015-01-23 01:31:15 || endTime :2015-01-23 02:31:15 || tweets/hour :19
startTime :2015-01-23 02:31:15 || endTime :2015-01-23 03:31:15 || tweets/hour :32
startTime :2015-01-23 03:31:15 || endTime :2015-01-23 04:31:15 || tweets/hour :43
startTime :2015-01-23 04:31:15 || endTime :2015-01-23 05:31:15 || tweets/hour :29
startTime :2015-01-23 05:31:15 || endTime :2015-01-23 06:31:15 || tweets/hour :18
startTime :2015-01-23 06:31:15 || endTime :2015-01-23 07:31:15 || tweets/hour :19
startTime :2015-01-23 07:31:15 || endTime :2015-01-23 08:31:15 || tweets/hour :11
startTime :2015-01-23 08:31:15 || endTime :2015-01-23 09:31:15 || tweets/hour :12
startTime :2015-01-23 09:31:15 || endTime :2015-01-23 10:31:15 || tweets/hour :2
startTime :2015-01-23 10:31:15 || endTime :2015-01-23 11:31:15 || tweets/hour :3
startTime :2015-01-23 11:31:15 || endTime :2015-01-23 12:31:15 || tweets/hour :3
startTime :2015-01-23 12:31:15 || endTime :2015-01-23 13:31:15 || tweets/hour :3
startTime :2015-01-23 13:31:15 || endTime :2015-01-23 14:31:15 || tweets/hour :18
startTime :2015-01-23 14:31:15 || endTime :2015-01-23 15:31:15 || tweets/hour :20
startTime :2015-01-23 15:31:15 || endTime :2015-01-23 16:31:15 || tweets/hour :25
startTime :2015-01-23 16:31:15 || endTime :2015-01-23 17:31:15 || tweets/hour :25
startTime :2015-01-23 17:31:15 || endTime :2015-01-23 18:31:15 || tweets/hour :20
startTime :2015-01-23 18:31:15 || endTime :2015-01-23 19:31:15 || tweets/hour :33
startTime :2015-01-23 19:31:15 || endTime :2015-01-23 20:31:15 || tweets/hour :35
startTime :2015-01-23 20:31:15 || endTime :2015-01-23 21:31:15 || tweets/hour :31
startTime :2015-01-23 21:31:15 || endTime :2015-01-23 22:31:15 || tweets/hour :28
startTime :2015-01-23 22:31:15 || endTime :2015-01-23 23:31:15 || tweets/hour :25
startTime :2015-01-23 23:31:15 || endTime :2015-01-24 00:31:15 || tweets/hour :24
startTime :2015-01-24 00:31:15 || endTime :2015-01-24 01:31:15 || tweets/hour :26
startTime :2015-01-24 01:31:15 || endTime :2015-01-24 02:31:15 || tweets/hour :27
startTime :2015-01-24 02:31:15 || endTime :2015-01-24 03:31:15 || tweets/hour :32
startTime :2015-01-24 03:31:15 || endTime :2015-01-24 04:31:15 || tweets/hour :22
startTime :2015-01-24 04:31:15 || endTime :2015-01-24 05:31:15 || tweets/hour :15
startTime :2015-01-24 05:31:15 || endTime :2015-01-24 06:31:15 || tweets/hour :19
startTime :2015-01-24 06:31:15 || endTime :2015-01-24 07:31:15 || tweets/hour :6
startTime :2015-01-24 07:31:15 || endTime :2015-01-24 08:31:15 || tweets/hour :2
startTime :2015-01-24 08:31:15 || endTime :2015-01-24 09:31:15 || tweets/hour :6
startTime :2015-01-24 09:31:15 || endTime :2015-01-24 10:31:15 || tweets/hour :5
startTime :2015-01-24 10:31:15 || endTime :2015-01-24 11:31:15 || tweets/hour :1
startTime :2015-01-24 11:31:15 || endTime :2015-01-24 12:31:15 || tweets/hour :1
startTime :2015-01-24 12:31:15 || endTime :2015-01-24 13:31:15 || tweets/hour :2
startTime :2015-01-24 13:31:15 || endTime :2015-01-24 14:31:15 || tweets/hour :10
startTime :2015-01-24 14:31:15 || endTime :2015-01-24 15:31:15 || tweets/hour :21
startTime :2015-01-24 15:31:15 || endTime :2015-01-24 16:31:15 || tweets/hour :17
startTime :2015-01-24 16:31:15 || endTime :2015-01-24 17:31:15 || tweets/hour :18
startTime :2015-01-24 17:31:15 || endTime :2015-01-24 18:31:15 || tweets/hour :26
startTime :2015-01-24 18:31:15 || endTime :2015-01-24 19:31:15 || tweets/hour :28
startTime :2015-01-24 19:31:15 || endTime :2015-01-24 20:31:15 || tweets/hour :51
startTime :2015-01-24 20:31:15 || endTime :2015-01-24 21:31:15 || tweets/hour :51
startTime :2015-01-24 21:31:15 || endTime :2015-01-24 22:31:15 || tweets/hour :24
startTime :2015-01-24 22:31:15 || endTime :2015-01-24 23:31:15 || tweets/hour :34
startTime :2015-01-24 23:31:15 || endTime :2015-01-25 00:31:15 || tweets/hour :25
startTime :2015-01-25 00:31:15 || endTime :2015-01-25 01:31:15 || tweets/hour :21
startTime :2015-01-25 01:31:15 || endTime :2015-01-25 02:31:15 || tweets/hour :27
startTime :2015-01-25 02:31:15 || endTime :2015-01-25 03:31:15 || tweets/hour :46
startTime :2015-01-25 03:31:15 || endTime :2015-01-25 04:31:15 || tweets/hour :42
startTime :2015-01-25 04:31:15 || endTime :2015-01-25 05:31:15 || tweets/hour :18
startTime :2015-01-25 05:31:15 || endTime :2015-01-25 06:31:15 || tweets/hour :25
startTime :2015-01-25 06:31:15 || endTime :2015-01-25 07:31:15 || tweets/hour :11
startTime :2015-01-25 07:31:15 || endTime :2015-01-25 08:31:15 || tweets/hour :11
startTime :2015-01-25 08:31:15 || endTime :2015-01-25 09:31:15 || tweets/hour :3
startTime :2015-01-25 09:31:15 || endTime :2015-01-25 10:31:15 || tweets/hour :4
startTime :2015-01-25 10:31:15 || endTime :2015-01-25 11:31:15 || tweets/hour :3
startTime :2015-01-25 11:31:15 || endTime :2015-01-25 12:31:15 || tweets/hour :6
startTime :2015-01-25 12:31:15 || endTime :2015-01-25 13:31:15 || tweets/hour :5
startTime :2015-01-25 13:31:15 || endTime :2015-01-25 14:31:15 || tweets/hour :10
startTime :2015-01-25 14:31:15 || endTime :2015-01-25 15:31:15 || tweets/hour :30
startTime :2015-01-25 15:31:15 || endTime :2015-01-25 16:31:15 || tweets/hour :64
startTime :2015-01-25 16:31:15 || endTime :2015-01-25 17:31:15 || tweets/hour :87
startTime :2015-01-25 17:31:15 || endTime :2015-01-25 18:31:15 || tweets/hour :141
startTime :2015-01-25 18:31:15 || endTime :2015-01-25 19:31:15 || tweets/hour :92
startTime :2015-01-25 19:31:15 || endTime :2015-01-25 20:31:15 || tweets/hour :84
startTime :2015-01-25 20:31:15 || endTime :2015-01-25 21:31:15 || tweets/hour :78
startTime :2015-01-25 21:31:15 || endTime :2015-01-25 22:31:15 || tweets/hour :114
startTime :2015-01-25 22:31:15 || endTime :2015-01-25 23:31:15 || tweets/hour :104
startTime :2015-01-25 23:31:15 || endTime :2015-01-26 00:31:15 || tweets/hour :39
startTime :2015-01-26 00:31:15 || endTime :2015-01-26 01:31:15 || tweets/hour :44
startTime :2015-01-26 01:31:15 || endTime :2015-01-26 02:31:15 || tweets/hour :55
startTime :2015-01-26 02:31:15 || endTime :2015-01-26 03:31:15 || tweets/hour :50
startTime :2015-01-26 03:31:15 || endTime :2015-01-26 04:31:15 || tweets/hour :45
startTime :2015-01-26 04:31:15 || endTime :2015-01-26 05:31:15 || tweets/hour :52
startTime :2015-01-26 05:31:15 || endTime :2015-01-26 06:31:15 || tweets/hour :27
startTime :2015-01-26 06:31:15 || endTime :2015-01-26 07:31:15 || tweets/hour :30
startTime :2015-01-26 07:31:15 || endTime :2015-01-26 08:31:15 || tweets/hour :12
startTime :2015-01-26 08:31:15 || endTime :2015-01-26 09:31:15 || tweets/hour :7
startTime :2015-01-26 09:31:15 || endTime :2015-01-26 10:31:15 || tweets/hour :15
startTime :2015-01-26 10:31:15 || endTime :2015-01-26 11:31:15 || tweets/hour :12
startTime :2015-01-26 11:31:15 || endTime :2015-01-26 12:31:15 || tweets/hour :18
startTime :2015-01-26 12:31:15 || endTime :2015-01-26 13:31:15 || tweets/hour :21
startTime :2015-01-26 13:31:15 || endTime :2015-01-26 14:31:15 || tweets/hour :27
startTime :2015-01-26 14:31:15 || endTime :2015-01-26 15:31:15 || tweets/hour :32
startTime :2015-01-26 15:31:15 || endTime :2015-01-26 16:31:15 || tweets/hour :69
startTime :2015-01-26 16:31:15 || endTime :2015-01-26 17:31:15 || tweets/hour :58
startTime :2015-01-26 17:31:15 || endTime :2015-01-26 18:31:15 || tweets/hour :67
startTime :2015-01-26 18:31:15 || endTime :2015-01-26 19:31:15 || tweets/hour :74
startTime :2015-01-26 19:31:15 || endTime :2015-01-26 20:31:15 || tweets/hour :80
startTime :2015-01-26 20:31:15 || endTime :2015-01-26 21:31:15 || tweets/hour :26
startTime :2015-01-26 21:31:15 || endTime :2015-01-26 22:31:15 || tweets/hour :109
startTime :2015-01-26 22:31:15 || endTime :2015-01-26 23:31:15 || tweets/hour :108
startTime :2015-01-26 23:31:15 || endTime :2015-01-27 00:31:15 || tweets/hour :49
startTime :2015-01-27 00:31:15 || endTime :2015-01-27 01:31:15 || tweets/hour :114
startTime :2015-01-27 01:31:15 || endTime :2015-01-27 02:31:15 || tweets/hour :75
startTime :2015-01-27 02:31:15 || endTime :2015-01-27 03:31:15 || tweets/hour :72
startTime :2015-01-27 03:31:15 || endTime :2015-01-27 04:31:15 || tweets/hour :83
startTime :2015-01-27 04:31:15 || endTime :2015-01-27 05:31:15 || tweets/hour :50
startTime :2015-01-27 05:31:15 || endTime :2015-01-27 06:31:15 || tweets/hour :40
startTime :2015-01-27 06:31:15 || endTime :2015-01-27 07:31:15 || tweets/hour :35
startTime :2015-01-27 07:31:15 || endTime :2015-01-27 08:31:15 || tweets/hour :14
startTime :2015-01-27 08:31:15 || endTime :2015-01-27 09:31:15 || tweets/hour :8
startTime :2015-01-27 09:31:15 || endTime :2015-01-27 10:31:15 || tweets/hour :5
